No.;Time;Source;Destination;Protocol;Length;Info;;;time 1;time 2;Delay;Delay 1;Delay 2;jitter 
7524;111.34873;192.168.1.7;35.186.224.39;TLSv1.2;97;Application Data;;;111.34873;111.402478;0.053748;0.024083;0.029665;0.005582
7525;111.402478;35.186.224.39;192.168.1.7;TCP;56;443  >  49752 [ACK] Seq=121 Ack=173 Win=272 Len=0;;;111.402478;111.432143;0.029665;-0.010315;0.03998;0.050295
7526;111.432143;35.186.224.39;192.168.1.7;TLSv1.2;94;Application Data;;;111.432143;111.472123;0.03998;-2.312196;2.352176;4.664372
7527;111.472123;192.168.1.7;35.186.224.39;TCP;54;49752  >  443 [ACK] Seq=173 Ack=161 Win=252 Len=0;;;111.472123;113.824299;2.352176;2.334292;0.017884;-2.316408
7530;113.824299;192.168.1.7;31.13.68.60;TCP;66;62869  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;113.824299;113.842183;0.017884;0.017652;0.000232;-0.01742
7531;113.842183;31.13.68.60;192.168.1.7;TCP;66;443  >  62869 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM=1 WS=256;;;113.842183;113.842415;0.000232;-0.003908;0.00414;0.008048
7532;113.842415;192.168.1.7;31.13.68.60;TCP;54;62869  >  443 [ACK] Seq=1 Ack=1 Win=66816 Len=0;;;113.842415;113.846555;0.00414;-0.005998;0.010138;0.016136
7533;113.846555;192.168.1.7;31.13.68.60;TLSv1.3;608;Client Hello;;;113.846555;113.856693;0.010138;-0.000139;0.010277;0.010416
7534;113.856693;157.240.218.60;192.168.1.7;TLSv1.2;383;Application Data;;;113.856693;113.86697;0.010277;0.009974;0.000303;-0.009671
7535;113.86697;31.13.68.60;192.168.1.7;TCP;54;443  >  62869 [ACK] Seq=1 Ack=555 Win=66816 Len=0;;;113.86697;113.867273;0.000303;-0.001096;0.001399;0.002495
7536;113.867273;31.13.68.60;192.168.1.7;TLSv1.3;266;Server Hello, Change Cipher Spec, Application Data;;;113.867273;113.868672;0.001399;-0.000279;0.001678;0.001957
7537;113.868672;192.168.1.7;31.13.68.60;TLSv1.3;118;Change Cipher Spec, Application Data;;;113.868672;113.87035;0.001678;0.001528;0.00015;-0.001378
7538;113.87035;192.168.1.7;31.13.68.60;TLSv1.3;224;Application Data;;;113.87035;113.8705;0.00015;1.8E-05;0.000132;0.000114
7539;113.8705;192.168.1.7;31.13.68.60;TLSv1.3;437;Application Data;;;113.8705;113.870632;0.000132;-0.021984;0.022116;0.0441
7540;113.870632;192.168.1.7;31.13.68.60;TLSv1.3;1123;Application Data;;;113.870632;113.892748;0.022116;0.021848;0.000268;-0.02158
7541;113.892748;31.13.68.60;192.168.1.7;TCP;56;443  >  62869 [ACK] Seq=213 Ack=619 Win=66816 Len=0;;;113.892748;113.893016;0.000268;2.1E-05;0.000247;0.000226
7542;113.893016;31.13.68.60;192.168.1.7;TLSv1.3;225;Application Data;;;113.893016;113.893263;0.000247;0.000185;6.2E-05;-0.000123
7543;113.893263;31.13.68.60;192.168.1.7;TLSv1.3;134;Application Data;;;113.893263;113.893325;6.2E-05;-0.000303;0.000365;0.000668
7544;113.893325;192.168.1.7;31.13.68.60;TCP;54;62869  >  443 [ACK] Seq=2241 Ack=464 Win=66304 Len=0;;;113.893325;113.89369;0.000365;0.000309;5.6E-05;-0.000253
7545;113.89369;31.13.68.60;192.168.1.7;TCP;56;443  >  62869 [ACK] Seq=464 Ack=789 Win=67840 Len=0;;;113.89369;113.893746;5.6E-05;1.6E-05;4E-05;2.4E-05
7546;113.893746;31.13.68.60;192.168.1.7;TCP;56;443  >  62869 [ACK] Seq=464 Ack=1172 Win=68864 Len=0;;;113.893746;113.893786;4E-05;-0.000224;0.000264;0.000488
7547;113.893786;31.13.68.60;192.168.1.7;TLSv1.3;98;Application Data;;;113.893786;113.89405;0.000264;-0.012607;0.012871;0.025478
7548;113.89405;192.168.1.7;31.13.68.60;TLSv1.3;85;Application Data;;;113.89405;113.906921;0.012871;0.007534;0.005337;-0.002197
7549;113.906921;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=8311 Win=258 Len=0;;;113.906921;113.912258;0.005337;-0.255078;0.260415;0.515493
7550;113.912258;31.13.68.60;192.168.1.7;TCP;56;443  >  62869 [ACK] Seq=508 Ack=2272 Win=71168 Len=0;;;113.912258;114.172673;0.260415;0.209851;0.050564;-0.159287
7552;114.172673;31.13.68.60;192.168.1.7;TLSv1.3;344;Application Data;;;114.172673;114.223237;0.050564;-0.200478;0.251042;0.45152
7553;114.223237;192.168.1.7;31.13.68.60;TCP;54;62869  >  443 [ACK] Seq=2272 Ack=798 Win=65792 Len=0;;;114.223237;114.474279;0.251042;0.221811;0.029231;-0.19258
7554;114.474279;192.168.1.7;35.186.224.47;TLSv1.2;89;Application Data;;;114.474279;114.50351;0.029231;-0.022821;0.052052;0.074873
7555;114.50351;35.186.224.47;192.168.1.7;TCP;56;443  >  49748 [ACK] Seq=94 Ack=141 Win=266 Len=0;;;114.50351;114.555562;0.052052;0.010375;0.041677;0.031302
7556;114.555562;35.186.224.47;192.168.1.7;TLSv1.2;85;Application Data;;;114.555562;114.597239;0.041677;-2.473702;2.515379;4.989081
7557;114.597239;192.168.1.7;35.186.224.47;TCP;54;49748  >  443 [ACK] Seq=141 Ack=125 Win=255 Len=0;;;114.597239;117.112618;2.515379;2.474175;0.041204;-2.432971
7559;117.112618;157.240.218.60;192.168.1.7;TLSv1.2;189;Application Data;;;117.112618;117.153822;0.041204;-8.275514;8.316718;16.592232
7560;117.153822;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=8446 Win=258 Len=0;;;117.153822;125.47054;8.316718;8.291852;0.024866;-8.266986
7563;125.47054;192.168.1.7;35.186.224.25;TCP;66;62870  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;125.47054;125.495406;0.024866;0.02468;0.000186;-0.024494
7564;125.495406;35.186.224.25;192.168.1.7;TCP;66;443  >  62870 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 WS=256;;;125.495406;125.495592;0.000186;-0.000509;0.000695;0.001204
7565;125.495592;192.168.1.7;35.186.224.25;TCP;54;62870  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0;;;125.495592;125.496287;0.000695;-0.021306;0.022001;0.043307
7566;125.496287;192.168.1.7;35.186.224.25;TLSv1.3;571;Client Hello;;;125.496287;125.518288;0.022001;0.018652;0.003349;-0.015303
7567;125.518288;35.186.224.25;192.168.1.7;TCP;54;443  >  62870 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;125.518288;125.521637;0.003349;0.003147;0.000202;-0.002945
7568;125.521637;35.186.224.25;192.168.1.7;TLSv1.3;1484;Server Hello, Change Cipher Spec;;;125.521637;125.521839;0.000202;0.000141;6.1E-05;-8E-05
7569;125.521839;35.186.224.25;192.168.1.7;TCP;1484;443  >  62870 [PSH, ACK] Seq=1431 Ack=518 Win=66816 Len=1430 [TCP segment of a reassembled PDU];;;125.521839;125.5219;6.1E-05;-3.1E-05;9.2E-05;0.000123
7570;125.5219;192.168.1.7;35.186.224.25;TCP;54;62870  >  443 [ACK] Seq=518 Ack=2861 Win=65536 Len=0;;;125.5219;125.521992;9.2E-05;-0.00126;0.001352;0.002612
7571;125.521992;35.186.224.25;192.168.1.7;TLSv1.3;654;Application Data;;;125.521992;125.523344;0.001352;0.000924;0.000428;-0.000496
7572;125.523344;192.168.1.7;35.186.224.25;TLSv1.3;118;Change Cipher Spec, Application Data;;;125.523344;125.523772;0.000428;0.000138;0.00029;0.000152
7573;125.523772;192.168.1.7;35.186.224.25;TLSv1.3;146;Application Data;;;125.523772;125.524062;0.00029;0.000169;0.000121;-4.8E-05
7574;125.524062;192.168.1.7;35.186.224.25;TLSv1.3;844;Application Data;;;125.524062;125.524183;0.000121;0.000121;0;-0.000121
7575;125.524183;192.168.1.7;35.186.224.25;TCP;1484;62870  >  443 [ACK] Seq=1464 Ack=3461 Win=65024 Len=1430 [TCP segment of a reassembled PDU];;;125.524183;125.524183;0;-0.021037;0.021037;0.042074
7576;125.524183;192.168.1.7;35.186.224.25;TLSv1.3;155;Application Data;;;125.524183;125.54522;0.021037;0.020575;0.000462;-0.020113
7577;125.54522;35.186.224.25;192.168.1.7;TLSv1.3;634;Application Data, Application Data;;;125.54522;125.545682;0.000462;-0.000161;0.000623;0.000784
7578;125.545682;192.168.1.7;35.186.224.25;TLSv1.3;85;Application Data;;;125.545682;125.546305;0.000623;-0.003129;0.003752;0.006881
7579;125.546305;35.186.224.25;192.168.1.7;TCP;56;443  >  62870 [ACK] Seq=4041 Ack=1464 Win=68352 Len=0;;;125.546305;125.550057;0.003752;0.00362;0.000132;-0.003488
7580;125.550057;35.186.224.25;192.168.1.7;TLSv1.3;85;Application Data;;;125.550057;125.550189;0.000132;-0.026706;0.026838;0.053544
7581;125.550189;35.186.224.25;192.168.1.7;TCP;56;443  >  62870 [ACK] Seq=4072 Ack=2995 Win=71168 Len=0;;;125.550189;125.577027;0.026838;0.011131;0.015707;0.004576
7582;125.577027;35.186.224.25;192.168.1.7;TCP;56;443  >  62870 [ACK] Seq=4072 Ack=3026 Win=71168 Len=0;;;125.577027;125.592734;0.015707;-0.028313;0.04402;0.072333
7583;125.592734;192.168.1.7;35.186.224.25;TCP;54;62870  >  443 [ACK] Seq=3026 Ack=4072 Win=64512 Len=0;;;125.592734;125.636754;0.04402;0.043831;0.000189;-0.043642
7584;125.636754;35.186.224.25;192.168.1.7;TLSv1.3;500;Application Data;;;125.636754;125.636943;0.000189;0.000138;5.1E-05;-8.7E-05
7585;125.636943;35.186.224.25;192.168.1.7;TLSv1.3;471;Application Data, Application Data;;;125.636943;125.636994;5.1E-05;-3.4E-05;8.5E-05;0.000119
7586;125.636994;192.168.1.7;35.186.224.25;TCP;54;62870  >  443 [ACK] Seq=3026 Ack=4935 Win=65536 Len=0;;;125.636994;125.637079;8.5E-05;-0.002266;0.002351;0.004617
7587;125.637079;35.186.224.25;192.168.1.7;TLSv1.3;93;Application Data;;;125.637079;125.63943;0.002351;-0.02971;0.032061;0.061771
7588;125.63943;192.168.1.7;35.186.224.25;TLSv1.3;93;Application Data;;;125.63943;125.671491;0.032061;-1.151196;1.183257;2.334453
7589;125.671491;35.186.224.25;192.168.1.7;TCP;56;443  >  62870 [ACK] Seq=4974 Ack=3065 Win=71168 Len=0;;;125.671491;126.854748;1.183257;1.181873;0.001384;-1.180489
7590;126.854748;192.168.1.7;172.253.118.94;TLSv1.2;93;Application Data;;;126.854748;126.856132;0.001384;0.001211;0.000173;-0.001038
7591;126.856132;192.168.1.7;172.253.118.94;TLSv1.2;78;Application Data;;;126.856132;126.856305;0.000173;-0.021111;0.021284;0.042395
7592;126.856305;192.168.1.7;172.253.118.94;TCP;54;62839  >  443 [FIN, ACK] Seq=142 Ack=79 Win=253 Len=0;;;126.856305;126.877589;0.021284;0.021077;0.000207;-0.02087
7593;126.877589;172.253.118.94;192.168.1.7;TCP;54;443  >  62839 [FIN, ACK] Seq=79 Ack=142 Win=267 Len=0;;;126.877589;126.877796;0.000207;5.7E-05;0.00015;9.3E-05
7594;126.877796;192.168.1.7;172.253.118.94;TCP;54;62839  >  443 [ACK] Seq=143 Ack=80 Win=253 Len=0;;;126.877796;126.877946;0.00015;9E-05;6E-05;-3E-05
7595;126.877946;172.253.118.94;192.168.1.7;TCP;54;[TCP Keep-Alive] 443  >  62839 [ACK] Seq=79 Ack=142 Win=267 Len=0;;;126.877946;126.878006;6E-05;-4.8E-05;0.000108;0.000156
7596;126.878006;192.168.1.7;172.253.118.94;TCP;54;[TCP Keep-Alive ACK] 62839  >  443 [ACK] Seq=143 Ack=80 Win=253 Len=0;;;126.878006;126.878114;0.000108;-1.700097;1.700205;3.400302
7597;126.878114;172.253.118.94;192.168.1.7;TCP;54;443  >  62839 [ACK] Seq=80 Ack=143 Win=267 Len=0;;;126.878114;128.578319;1.700205;1.674814;0.025391;-1.649423
7598;128.578319;192.168.1.7;35.186.224.25;TCP;54;62870  >  443 [FIN, ACK] Seq=3065 Ack=4974 Win=65536 Len=0;;;128.578319;128.60371;0.025391;0.025169;0.000222;-0.024947
7599;128.60371;35.186.224.25;192.168.1.7;TCP;54;443  >  62870 [FIN, ACK] Seq=4974 Ack=3066 Win=71168 Len=0;;;128.60371;128.603932;0.000222;-5.254717;5.254939;10.509656
7600;128.603932;192.168.1.7;35.186.224.25;TCP;54;62870  >  443 [ACK] Seq=3066 Ack=4975 Win=65536 Len=0;;;128.603932;133.858871;5.254939;5.254368;0.000571;-5.253797
7601;133.858871;192.168.1.7;142.251.12.93;TLSv1.2;93;Application Data;;;133.858871;133.859442;0.000571;0.00012;0.000451;0.000331
7602;133.859442;192.168.1.7;142.251.12.106;TLSv1.2;93;Application Data;;;133.859442;133.859893;0.000451;0.000378;7.3E-05;-0.000305
7603;133.859893;192.168.1.7;142.251.12.93;TLSv1.2;78;Application Data;;;133.859893;133.859966;7.3E-05;-0.000252;0.000325;0.000577
7604;133.859966;192.168.1.7;142.251.12.93;TCP;54;62842  >  443 [FIN, ACK] Seq=142 Ack=79 Win=256 Len=0;;;133.859966;133.860291;0.000325;0.000251;7.4E-05;-0.000177
7605;133.860291;192.168.1.7;142.251.12.106;TLSv1.2;78;Application Data;;;133.860291;133.860365;7.4E-05;-0.020273;0.020347;0.04062
7606;133.860365;192.168.1.7;142.251.12.106;TCP;54;62844  >  443 [FIN, ACK] Seq=142 Ack=79 Win=252 Len=0;;;133.860365;133.880712;0.020347;0.020173;0.000174;-0.019999
7607;133.880712;142.251.12.106;192.168.1.7;TCP;54;443  >  62844 [FIN, ACK] Seq=79 Ack=143 Win=284 Len=0;;;133.880712;133.880886;0.000174;-3.2E-05;0.000206;0.000238
7608;133.880886;192.168.1.7;142.251.12.106;TCP;54;62844  >  443 [ACK] Seq=143 Ack=80 Win=252 Len=0;;;133.880886;133.881092;0.000206;0.000164;4.2E-05;-0.000122
7609;133.881092;142.251.12.106;192.168.1.7;TCP;54;[TCP Keep-Alive] 443  >  62844 [ACK] Seq=79 Ack=143 Win=284 Len=0;;;133.881092;133.881134;4.2E-05;-1.4E-05;5.6E-05;7E-05
7610;133.881134;192.168.1.7;142.251.12.106;TCP;54;[TCP ZeroWindow] 62844  >  443 [ACK] Seq=143 Ack=80 Win=0 Len=0;;;133.881134;133.88119;5.6E-05;-1.4E-05;7E-05;8.4E-05
7611;133.88119;142.251.12.93;192.168.1.7;TCP;54;443  >  62842 [FIN, ACK] Seq=79 Ack=143 Win=265 Len=0;;;133.88119;133.88126;7E-05;2E-06;6.8E-05;6.6E-05
7612;133.88126;192.168.1.7;142.251.12.93;TCP;54;62842  >  443 [ACK] Seq=143 Ack=80 Win=256 Len=0;;;133.88126;133.881328;6.8E-05;4E-05;2.8E-05;-1.2E-05
7613;133.881328;142.251.12.93;192.168.1.7;TCP;54;[TCP Keep-Alive] 443  >  62842 [ACK] Seq=79 Ack=143 Win=265 Len=0;;;133.881328;133.881356;2.8E-05;-0.020717;0.020745;0.041462
7614;133.881356;192.168.1.7;142.251.12.93;TCP;54;[TCP ZeroWindow] 62842  >  443 [ACK] Seq=143 Ack=80 Win=0 Len=0;;;133.881356;133.902101;0.020745;0.020628;0.000117;-0.020511
7615;133.902101;142.251.12.106;192.168.1.7;TCP;54;443  >  62844 [RST] Seq=80 Win=0 Len=0;;;133.902101;133.902218;0.000117;-0.616518;0.616635;1.233153
7616;133.902218;142.251.12.93;192.168.1.7;TCP;54;443  >  62842 [RST] Seq=80 Win=0 Len=0;;;133.902218;134.518853;0.616635;0.568048;0.048587;-0.519461
7617;134.518853;157.240.218.60;192.168.1.7;TLSv1.2;151;Application Data;;;134.518853;134.56744;0.048587;-3.831869;3.880456;7.712325
7618;134.56744;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=8543 Win=257 Len=0;;;134.56744;138.447896;3.880456;3.852994;0.027462;-3.825532
7619;138.447896;192.168.1.7;20.197.71.89;TLSv1.2;98;Application Data;;;138.447896;138.475358;0.027462;-0.020027;0.047489;0.067516
7620;138.475358;20.197.71.89;192.168.1.7;TLSv1.2;229;Application Data;;;138.475358;138.522847;0.047489;-0.55641;0.603899;1.160309
7621;138.522847;192.168.1.7;20.197.71.89;TCP;54;49730  >  443 [ACK] Seq=177 Ack=701 Win=256 Len=0;;;138.522847;139.126746;0.603899;0.603603;0.000296;-0.603307
7622;139.126746;157.240.218.60;192.168.1.7;TLSv1.2;367;Application Data;;;139.126746;139.127042;0.000296;0.000233;6.3E-05;-0.00017
7623;139.127042;157.240.218.60;192.168.1.7;TLSv1.2;232;Application Data;;;139.127042;139.127105;6.3E-05;-0.136324;0.136387;0.272711
7624;139.127105;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=9034 Win=255 Len=0;;;139.127105;139.263492;0.136387;0.090696;0.045691;-0.045005
7625;139.263492;13.68.168.63;192.168.1.7;TLSv1.2;149;Application Data;;;139.263492;139.309183;0.045691;-0.786171;0.831862;1.618033
7626;139.309183;192.168.1.7;13.68.168.63;TCP;54;62624  >  443 [ACK] Seq=622 Ack=191 Win=258 Len=0;;;139.309183;140.141045;0.831862;0.785128;0.046734;-0.738394
7635;140.141045;157.240.218.60;192.168.1.7;TLSv1.2;232;Application Data;;;140.141045;140.187779;0.046734;-1.212483;1.259217;2.4717
7636;140.187779;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=9212 Win=261 Len=0;;;140.187779;141.446996;1.259217;1.237469;0.021748;-1.215721
7646;141.446996;192.168.1.7;35.186.224.39;TLSv1.2;97;Application Data;;;141.446996;141.468744;0.021748;-0.040431;0.062179;0.10261
7647;141.468744;35.186.224.39;192.168.1.7;TCP;56;443  >  49752 [ACK] Seq=161 Ack=216 Win=272 Len=0;;;141.468744;141.530923;0.062179;0.014328;0.047851;0.033523
7648;141.530923;35.186.224.39;192.168.1.7;TLSv1.2;94;Application Data;;;141.530923;141.578774;0.047851;-2.620058;2.667909;5.287967
7649;141.578774;192.168.1.7;35.186.224.39;TCP;54;49752  >  443 [ACK] Seq=216 Ack=201 Win=251 Len=0;;;141.578774;144.246683;2.667909;2.61997;0.047939;-2.572031
7650;144.246683;104.199.240.237;192.168.1.7;TCP;65;4070  >  49739 [PSH, ACK] Seq=23 Ack=12 Win=16 Len=11;;;144.246683;144.294622;0.047939;-1.155893;1.203832;2.359725
7651;144.294622;192.168.1.7;104.199.240.237;TCP;54;49739  >  4070 [ACK] Seq=12 Ack=34 Win=253 Len=0;;;144.294622;145.498454;1.203832;1.179915;0.023917;-1.155998
7652;145.498454;192.168.1.7;35.186.224.47;TLSv1.2;89;Application Data;;;145.498454;145.522371;0.023917;-0.034362;0.058279;0.092641
7653;145.522371;35.186.224.47;192.168.1.7;TCP;56;443  >  49748 [ACK] Seq=125 Ack=176 Win=266 Len=0;;;145.522371;145.58065;0.058279;0.00614;0.052139;0.045999
7654;145.58065;35.186.224.47;192.168.1.7;TLSv1.2;85;Application Data;;;145.58065;145.632789;0.052139;-1.396214;1.448353;2.844567
7655;145.632789;192.168.1.7;35.186.224.47;TCP;54;49748  >  443 [ACK] Seq=176 Ack=156 Win=255 Len=0;;;145.632789;147.081142;1.448353;1.397833;0.05052;-1.347313
7657;147.081142;157.240.218.60;192.168.1.7;TLSv1.2;1263;Application Data;;;147.081142;147.131662;0.05052;-0.024923;0.075443;0.100366
7658;147.131662;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=10421 Win=256 Len=0;;;147.131662;147.207105;0.075443;0.03542;0.040023;0.004603
7659;147.207105;157.240.218.60;192.168.1.7;TLSv1.2;232;Application Data;;;147.207105;147.247128;0.040023;-0.849716;0.889739;1.739455
7660;147.247128;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=10599 Win=255 Len=0;;;147.247128;148.136867;0.889739;0.837902;0.051837;-0.786065
7661;148.136867;157.240.218.60;192.168.1.7;TLSv1.2;232;Application Data;;;148.136867;148.188704;0.051837;-1.624797;1.676634;3.301431
7662;148.188704;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=10777 Win=261 Len=0;;;148.188704;149.865338;1.676634;1.676106;0.000528;-1.675578
7663;149.865338;192.168.1.7;142.251.10.149;TLSv1.2;93;Application Data;;;149.865338;149.865866;0.000528;0.000189;0.000339;0.00015
7664;149.865866;192.168.1.7;142.251.12.155;TLSv1.2;93;Application Data;;;149.865866;149.866205;0.000339;-0.000415;0.000754;0.001169
7665;149.866205;192.168.1.7;142.251.10.132;TLSv1.2;93;Application Data;;;149.866205;149.866959;0.000754;0.000565;0.000189;-0.000376
7666;149.866959;192.168.1.7;142.251.10.132;TLSv1.2;78;Application Data;;;149.866959;149.867148;0.000189;-0.000306;0.000495;0.000801
7667;149.867148;192.168.1.7;142.251.10.132;TCP;54;62845  >  443 [FIN, ACK] Seq=142 Ack=79 Win=512 Len=0;;;149.867148;149.867643;0.000495;0.000425;7E-05;-0.000355
7668;149.867643;192.168.1.7;142.251.10.149;TLSv1.2;78;Application Data;;;149.867643;149.867713;7E-05;-0.000579;0.000649;0.001228
7669;149.867713;192.168.1.7;142.251.10.149;TCP;54;62854  >  443 [FIN, ACK] Seq=142 Ack=79 Win=251 Len=0;;;149.867713;149.868362;0.000649;0.000556;9.3E-05;-0.000463
7670;149.868362;192.168.1.7;142.251.12.155;TLSv1.2;78;Application Data;;;149.868362;149.868455;9.3E-05;-0.017544;0.017637;0.035181
7671;149.868455;192.168.1.7;142.251.12.155;TCP;54;62855  >  443 [FIN, ACK] Seq=142 Ack=79 Win=251 Len=0;;;149.868455;149.886092;0.017637;0.01751;0.000127;-0.017383
7672;149.886092;142.251.10.132;192.168.1.7;TCP;56;443  >  62845 [ACK] Seq=79 Ack=142 Win=292 Len=0;;;149.886092;149.886219;0.000127;7.2E-05;5.5E-05;-1.7E-05
7673;149.886219;142.251.10.132;192.168.1.7;TCP;54;443  >  62845 [FIN, ACK] Seq=79 Ack=142 Win=292 Len=0;;;149.886219;149.886274;5.5E-05;-3E-05;8.5E-05;0.000115
7674;149.886274;192.168.1.7;142.251.10.132;TCP;54;62845  >  443 [ACK] Seq=143 Ack=80 Win=512 Len=0;;;149.886274;149.886359;8.5E-05;2E-06;8.3E-05;8.1E-05
7675;149.886359;142.251.10.132;192.168.1.7;TCP;56;443  >  62845 [ACK] Seq=80 Ack=143 Win=292 Len=0;;;149.886359;149.886442;8.3E-05;-3.3E-05;0.000116;0.000149
7676;149.886442;142.251.10.149;192.168.1.7;TCP;54;443  >  62854 [ACK] Seq=79 Ack=143 Win=277 Len=0;;;149.886442;149.886558;0.000116;5.7E-05;5.9E-05;2E-06
7677;149.886558;142.251.10.149;192.168.1.7;TCP;54;443  >  62854 [FIN, ACK] Seq=79 Ack=143 Win=277 Len=0;;;149.886558;149.886617;5.9E-05;-6E-06;6.5E-05;7.1E-05
7678;149.886617;192.168.1.7;142.251.10.149;TCP;54;62854  >  443 [ACK] Seq=143 Ack=80 Win=251 Len=0;;;149.886617;149.886682;6.5E-05;3E-06;6.2E-05;5.9E-05
7679;149.886682;142.251.12.155;192.168.1.7;TCP;54;443  >  62855 [ACK] Seq=79 Ack=143 Win=272 Len=0;;;149.886682;149.886744;6.2E-05;1.3E-05;4.9E-05;3.6E-05
7680;149.886744;142.251.12.155;192.168.1.7;TCP;54;443  >  62855 [FIN, ACK] Seq=79 Ack=143 Win=272 Len=0;;;149.886744;149.886793;4.9E-05;-1.98648;1.986529;3.973009
7681;149.886793;192.168.1.7;142.251.12.155;TCP;54;62855  >  443 [ACK] Seq=143 Ack=80 Win=251 Len=0;;;149.886793;151.873322;1.986529;1.98574;0.000789;-1.984951
7682;151.873322;192.168.1.7;74.125.24.157;TLSv1.2;93;Application Data;;;151.873322;151.874111;0.000789;0.000631;0.000158;-0.000473
7683;151.874111;192.168.1.7;74.125.24.157;TLSv1.2;78;Application Data;;;151.874111;151.874269;0.000158;-0.020381;0.020539;0.04092
7684;151.874269;192.168.1.7;74.125.24.157;TCP;54;62846  >  443 [FIN, ACK] Seq=142 Ack=79 Win=254 Len=0;;;151.874269;151.894808;0.020539;0.020377;0.000162;-0.020215
7685;151.894808;74.125.24.157;192.168.1.7;TCP;54;443  >  62846 [ACK] Seq=79 Ack=142 Win=305 Len=0;;;151.894808;151.89497;0.000162;8.9E-05;7.3E-05;-1.6E-05
7686;151.89497;74.125.24.157;192.168.1.7;TCP;54;443  >  62846 [FIN, ACK] Seq=79 Ack=142 Win=305 Len=0;;;151.89497;151.895043;7.3E-05;-5.4E-05;0.000127;0.000181
7687;151.895043;192.168.1.7;74.125.24.157;TCP;54;62846  >  443 [ACK] Seq=143 Ack=80 Win=254 Len=0;;;151.895043;151.89517;0.000127;-0.980684;0.980811;1.961495
7688;151.89517;74.125.24.157;192.168.1.7;TCP;54;443  >  62846 [ACK] Seq=80 Ack=143 Win=305 Len=0;;;151.89517;152.875981;0.980811;0.980067;0.000744;-0.979323
7689;152.875981;192.168.1.7;34.120.208.123;TLSv1.2;100;Application Data;;;152.875981;152.876725;0.000744;0.00067;7.4E-05;-0.000596
7690;152.876725;192.168.1.7;34.120.208.123;TLSv1.2;85;Encrypted Alert;;;152.876725;152.876799;7.4E-05;-0.030226;0.0303;0.060526
7691;152.876799;192.168.1.7;34.120.208.123;TCP;54;62857  >  443 [FIN, ACK] Seq=170 Ack=93 Win=253 Len=0;;;152.876799;152.907099;0.0303;0.030126;0.000174;-0.029952
7692;152.907099;34.120.208.123;192.168.1.7;TCP;54;443  >  62857 [FIN, ACK] Seq=93 Ack=171 Win=303 Len=0;;;152.907099;152.907273;0.000174;-0.000223;0.000397;0.00062
7693;152.907273;192.168.1.7;34.120.208.123;TCP;54;62857  >  443 [ACK] Seq=171 Ack=94 Win=253 Len=0;;;152.907273;152.90767;0.000397;0.000353;4.4E-05;-0.000309
7694;152.90767;34.120.208.123;192.168.1.7;TCP;54;[TCP Keep-Alive] 443  >  62857 [ACK] Seq=93 Ack=171 Win=303 Len=0;;;152.90767;152.907714;4.4E-05;-5.784044;5.784088;11.568132
7695;152.907714;192.168.1.7;34.120.208.123;TCP;54;[TCP ZeroWindow] 62857  >  443 [ACK] Seq=171 Ack=94 Win=0 Len=0;;;152.907714;158.691802;5.784088;5.743079;0.041009;-5.70207
7698;158.691802;157.240.218.60;192.168.1.7;TLSv1.2;170;Application Data;;;158.691802;158.732811;0.041009;-3.067204;3.108213;6.175417
7699;158.732811;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=110 Ack=10893 Win=260 Len=0;;;158.732811;161.841024;3.108213;3.1018;0.006413;-3.095387
7700;161.841024;192.168.1.7;36.91.232.97;TLSv1.3;93;Application Data;;;161.841024;161.847437;0.006413;-0.047118;0.053531;0.100649
7701;161.847437;36.91.232.97;192.168.1.7;TLSv1.3;93;Application Data;;;161.847437;161.900968;0.053531;0.029267;0.024264;-0.005003
7702;161.900968;192.168.1.7;36.91.232.97;TCP;54;62866  >  443 [ACK] Seq=1276 Ack=113228 Win=66560 Len=0;;;161.900968;161.925232;0.024264;0.02417;9.4E-05;-0.024076
7703;161.925232;36.91.232.97;192.168.1.7;TCP;93;[TCP Spurious Retransmission] 443  >  62866 [PSH, ACK] Seq=113189 Ack=1276 Win=31488 Len=39;;;161.925232;161.925326;9.4E-05;-1.571343;1.571437;3.14278
