No.;Time;Source;Destination;Protocol;Length;Info;;;time 1;time 2;Delay;Delay 1;Delay 2;jitter 
50;0.783906;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=12320 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.783906;0.784216;0.00031;0.000251;5.9E-05;-0.000192
51;0.784216;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=13772 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.784216;0.784275;5.9E-05;-0.000208;0.000267;0.000475
52;0.784275;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=7237 Ack=15224 Win=66048 Len=0;;;0.784275;0.784542;0.000267;-4.3E-05;0.00031;0.000353
53;0.784542;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=15224 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.784542;0.784852;0.00031;0.00026;5E-05;-0.00021
54;0.784852;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=16676 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.784852;0.784902;5E-05;-0.000181;0.000231;0.000412
55;0.784902;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=7237 Ack=18128 Win=66048 Len=0;;;0.784902;0.785133;0.000231;-9.9E-05;0.00033;0.000429
56;0.785133;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=18128 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.785133;0.785463;0.00033;0.000288;4.2E-05;-0.000246
57;0.785463;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=19580 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.785463;0.785505;4.2E-05;-0.000217;0.000259;0.000476
58;0.785505;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=7237 Ack=21032 Win=66048 Len=0;;;0.785505;0.785764;0.000259;3.9E-05;0.00022;0.000181
59;0.785764;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=21032 Ack=7237 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.785764;0.785984;0.00022;0.000166;5.4E-05;-0.000112
60;0.785984;40.126.16.166;192.168.1.7;TLSv1.2;852;Application Data, Application Data;;;0.785984;0.786038;5.4E-05;-0.000471;0.000525;0.000996
61;0.786038;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=7237 Ack=23283 Win=66048 Len=0;;;0.786038;0.786563;0.000525;0.000454;7.1E-05;-0.000383
62;0.786563;192.168.1.7;40.126.16.166;TLSv1.2;85;Encrypted Alert;;;0.786563;0.786634;7.1E-05;-0.085888;0.085959;0.171847
63;0.786634;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [FIN, ACK] Seq=7268 Ack=23283 Win=66048 Len=0;;;0.786634;0.872593;0.085959;-0.248918;0.334877;0.583795
64;0.872593;40.126.16.166;192.168.1.7;TCP;54;443  >  62859 [ACK] Seq=23283 Ack=7269 Win=16776192 Len=0;;;0.872593;1.20747;0.334877;0.281569;0.053308;-0.228261
67;1.20747;192.168.1.7;20.205.146.149;TCP;66;62860  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;1.20747;1.260778;0.053308;0.053053;0.000255;-0.052798
68;1.260778;20.205.146.149;192.168.1.7;TCP;66;443  >  62860 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM=1 WS=128;;;1.260778;1.261033;0.000255;-0.004467;0.004722;0.009189
69;1.261033;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0;;;1.261033;1.265755;0.004722;-0.019134;0.023856;0.04299
70;1.265755;192.168.1.7;20.205.146.149;TLSv1.3;354;Client Hello;;;1.265755;1.289611;0.023856;0.010695;0.013161;0.002466
71;1.289611;20.205.146.149;192.168.1.7;TCP;54;443  >  62860 [ACK] Seq=1 Ack=301 Win=64128 Len=0;;;1.289611;1.302772;0.013161;0.01283;0.000331;-0.012499
72;1.302772;20.205.146.149;192.168.1.7;TLSv1.3;1506;Server Hello, Change Cipher Spec, Application Data;;;1.302772;1.303103;0.000331;0.000268;6.3E-05;-0.000205
73;1.303103;20.205.146.149;192.168.1.7;TCP;1506;443  >  62860 [PSH, ACK] Seq=1453 Ack=301 Win=64128 Len=1452 [TCP segment of a reassembled PDU];;;1.303103;1.303166;6.3E-05;-0.0003;0.000363;0.000663
74;1.303166;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=301 Ack=2905 Win=66048 Len=0;;;1.303166;1.303529;0.000363;-0.010193;0.010556;0.020749
75;1.303529;20.205.146.149;192.168.1.7;TLSv1.3;1454;Application Data, Application Data, Application Data;;;1.303529;1.314085;0.010556;-0.007362;0.017918;0.02528
76;1.314085;192.168.1.7;20.205.146.149;TLSv1.3;134;Change Cipher Spec, Application Data;;;1.314085;1.332003;0.017918;0.017567;0.000351;-0.017216
77;1.332003;192.168.1.7;20.205.146.149;TLSv1.3;134;Application Data;;;1.332003;1.332354;0.000351;-3.9E-05;0.00039;0.000429
78;1.332354;192.168.1.7;20.205.146.149;TLSv1.3;1489;Application Data;;;1.332354;1.332744;0.00039;0.00039;0;-0.00039
79;1.332744;192.168.1.7;20.205.146.149;TCP;1494;62860  >  443 [ACK] Seq=1896 Ack=4305 Win=64768 Len=1440 [TCP segment of a reassembled PDU];;;1.332744;1.332744;0;-0.040557;0.040557;0.081114
80;1.332744;192.168.1.7;20.205.146.149;TLSv1.3;753;Application Data;;;1.332744;1.373301;0.040557;0.040331;0.000226;-0.040105
81;1.373301;20.205.146.149;192.168.1.7;TCP;56;443  >  62860 [ACK] Seq=4305 Ack=381 Win=64128 Len=0;;;1.373301;1.373527;0.000226;8.4E-05;0.000142;5.8E-05
82;1.373527;20.205.146.149;192.168.1.7;TLSv1.3;564;Application Data, Application Data;;;1.373527;1.373669;0.000142;-0.001349;0.001491;0.00284
83;1.373669;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4035 Ack=4815 Win=66048 Len=0;;;1.373669;1.37516;0.001491;0.001402;8.9E-05;-0.001313
84;1.37516;20.205.146.149;192.168.1.7;TCP;56;443  >  62860 [ACK] Seq=4815 Ack=461 Win=64128 Len=0;;;1.37516;1.375249;8.9E-05;2.1E-05;6.8E-05;4.7E-05
85;1.375249;20.205.146.149;192.168.1.7;TLSv1.3;169;Application Data, Application Data, Application Data;;;1.375249;1.375317;6.8E-05;-2.9E-05;9.7E-05;0.000126
86;1.375317;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4035 Ack=4930 Win=66048 Len=0;;;1.375317;1.375414;9.7E-05;-0.00543;0.005527;0.010957
87;1.375414;20.205.146.149;192.168.1.7;TCP;56;443  >  62860 [ACK] Seq=4930 Ack=3336 Win=64128 Len=0;;;1.375414;1.380941;0.005527;-0.01585;0.021377;0.037227
88;1.380941;192.168.1.7;20.205.146.149;TLSv1.3;85;Application Data;;;1.380941;1.402318;0.021377;0.021228;0.000149;-0.021079
89;1.402318;20.205.146.149;192.168.1.7;TLSv1.3;1506;Application Data;;;1.402318;1.402467;0.000149;4.6E-05;0.000103;5.7E-05
90;1.402467;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4066 Ack=6382 Win=66048 Len=0;;;1.402467;1.40257;0.000103;5.2E-05;5.1E-05;-1E-06
91;1.40257;20.205.146.149;192.168.1.7;TLSv1.3;1506;Application Data [TCP segment of a reassembled PDU];;;1.40257;1.402621;5.1E-05;-0.000172;0.000223;0.000395
92;1.402621;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4066 Ack=7834 Win=66048 Len=0;;;1.402621;1.402844;0.000223;0.000178;4.5E-05;-0.000133
